the_geom,lat_cs,seq_id,muni_id,municipal,cal_year,totpop,nhwhipop,nhaapop,latpop,nhapipop,nhnapop,nhothpop,nhmltpop,totpop_inc,nhwhi_inc,nhaa_inc,lat_inc,nhapi_inc,nhna_inc,nhoth_inc,totpop_cs,nhwhi_cs,nhaa_cs,cartodb_id,nhapi_cs,nhna_cs,nhoth_cs,totpop_cc,nhwhi_cc,nhaa_cc,lat_cc,nhapi_cc,nhna_cc,nhoth_cc,totpop_pt,nhwhi_pt,nhaa_pt,lat_pt,nhapi_pt,nhna_pt,nhoth_pt,tot_p,nhwhi_p,nhaa_p,lat_p,nhapi_p,nhna_p
,2886.000000,1,353,Massachusetts,2010,6547629.000000,4984800.000000,391693.000000,627654.000000,348962.000000,10778.000000,61547.000000,112911.000000,11361.000000,4868.000000,3195.000000,3010.000000,150.000000,70.000000,68.000000,10259.000000,4231.000000,2894.000000,1,139.000000,57.000000,52.000000,623.000000,436.000000,109.000000,54.000000,6.000000,13.000000,5.000000,479.000000,201.000000,192.000000,70.000000,5.000000,0.000000,11.000000,0.170000,0.100000,0.820000,0.480000,0.040000,0.650000
,2816.000000,2,353,Massachusetts,2011,6587536.000000,4993834.000000,406157.000000,649272.000000,365283.000000,8709.000000,61547.000000,112911.000000,11409.000000,4918.000000,3230.000000,2955.000000,143.000000,79.000000,84.000000,10222.000000,4240.000000,2906.000000,2,133.000000,64.000000,63.000000,620.000000,428.000000,108.000000,56.000000,4.000000,15.000000,9.000000,567.000000,250.000000,216.000000,83.000000,6.000000,0.000000,12.000000,0.170000,0.100000,0.800000,0.460000,0.040000,0.910000
,2886.000000,3,353,Massachusetts,2012,6646144.000000,5003798.000000,425654.000000,673885.000000,379812.000000,7210.000000,47410.000000,116871.000000,11723.000000,5058.000000,3309.000000,3043.000000,152.000000,81.000000,80.000000,10491.000000,4350.000000,2986.000000,3,145.000000,64.000000,60.000000,607.000000,421.000000,104.000000,63.000000,2.000000,15.000000,2.000000,625.000000,287.000000,219.000000,94.000000,5.000000,2.000000,18.000000,0.180000,0.100000,0.780000,0.450000,0.040000,1.120000
,2709.000000,4,353,Massachusetts,2013,6692824.000000,4995261.000000,429760.000000,703679.000000,387347.000000,8690.000000,37684.000000,118101.000000,11403.000000,5003.000000,3185.000000,2868.000000,153.000000,110.000000,84.000000,10148.000000,4303.000000,2859.000000,4,146.000000,66.000000,65.000000,560.000000,375.000000,100.000000,54.000000,2.000000,14.000000,15.000000,695.000000,325.000000,226.000000,105.000000,5.000000,30.000000,4.000000,0.170000,0.100000,0.740000,0.410000,0.040000,1.270000
,2581.000000,5,353,Massachusetts,2014,6745408.000000,4977913.000000,439433.000000,730094.000000,412331.000000,8451.000000,34202.000000,133885.000000,11034.000000,4882.000000,3063.000000,2755.000000,145.000000,73.000000,116.000000,9808.000000,4209.000000,2737.000000,5,133.000000,58.000000,90.000000,523.000000,337.000000,97.000000,62.000000,5.000000,14.000000,8.000000,703.000000,336.000000,229.000000,112.000000,7.000000,1.000000,18.000000,0.160000,0.100000,0.700000,0.380000,0.040000,0.860000
,2516.000000,6,353,Massachusetts,2015,6794422.000000,4958598.000000,459884.000000,757948.000000,429272.000000,7162.000000,42145.000000,135041.000000,10813.000000,4804.000000,3015.000000,2655.000000,149.000000,67.000000,123.000000,9670.000000,4152.000000,2732.000000,6,132.000000,50.000000,88.000000,537.000000,378.000000,80.000000,48.000000,6.000000,16.000000,9.000000,606.000000,274.000000,203.000000,91.000000,11.000000,1.000000,26.000000,0.160000,0.100000,0.660000,0.350000,0.030000,0.940000
,2427.000000,7,353,Massachusetts,2016,6794422.000000,4958598.000000,459884.000000,757948.000000,429272.000000,7162.000000,49348.000000,132210.000000,10014.000000,5422.000000,2752.000000,2533.000000,133.000000,64.000000,110.000000,9096.000000,3857.000000,2551.000000,7,124.000000,50.000000,87.000000,542.000000,370.000000,95.000000,51.000000,4.000000,14.000000,8.000000,376.000000,1195.000000,106.000000,55.000000,5.000000,0.000000,15.000000,0.150000,0.110000,0.600000,0.330000,0.030000,0.890000
